Zipcode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
11416,35.16338535,69.77013126,45.06461191,59.46056257,99.65730348,52.28154817,38.04579843,135.1567211,188.2097757
11694,41.25787261,108.2921137,114.341071,105.9536352,78.47495482,61.05087035,45.42475786,83.69384703,236.2524137
10452,41.65689197,113.7352971,101.2029872,60.88782239,107.4429783,196.4937242,86.01196607,87.69408995,95.08124346
11434,35.61842976,77.74579491,77.47729125,104.6715449,108.5617244,86.08419172,132.582411,134.5251991,298.2981832
10011,39.47405821,75.21569506,87.05473686,102.4315322,144.7841884,158.2349159,152.8913585,135.8723711,101.6508292
10040,30.65651424,55.13330855,54.69760909,34.24565951,25.65183558,68.8489222,36.02657369,49.93255911,135.7692986
10032,36.10740509,73.96830777,66.13908844,43.66560518,60.74626795,76.32823476,74.09588404,71.42345908,169.9149918
10460,41.91149211,73.60233862,99.53628554,84.24240263,143.327066,195.329143,82.75455003,125.4400728,105.397642
10034,34.89542491,63.2370407,88.94775218,55.33706331,30.69610789,69.42779669,54.70983544,41.54888993,91.62716998
11221,39.85316315,67.08590346,81.96860738,58.60954184,43.28854367,95.09759489,125.7759461,111.5308923,118.1455413
11205,32.13636453,58.4221435,68.41263249,54.93341456,86.52430222,167.8516478,91.9922018,169.446423,175.0342271
10459,38.417065,98.00599344,100.3915059,101.1454358,153.1841436,234.2845508,154.0867013,137.1108101,148.8958707
11231,42.01068935,64.23506809,65.98536378,82.83312733,84.80634376,177.1856296,113.9263651,125.2765731,199.0138633
10033,42.37311826,77.22492924,77.29554226,52.08093804,53.68533637,135.6656096,97.86724471,76.19800303,183.8004678
11423,31.93588967,63.817839,87.7277155,116.6228958,102.862558,114.9304517,112.9716771,142.25686,233.0257496
11105,37.62823105,59.23588445,59.70572557,73.84365868,73.28322635,59.14852035,48.92477763,152.4214909,286.9763442
11233,47.06805653,80.45746995,88.2012672,93.84446838,72.23565003,146.4777489,149.1798707,124.2637295,187.454791
11226,46.4619621,78.86043294,69.69338741,46.7615817,69.62425603,83.01810224,197.7176086,158.2830371,144.8256053
11216,44.81208254,79.54048187,86.86413966,74.55637434,68.1792772,105.4772096,151.8056702,127.4502702,153.5660659
10455,43.02223059,80.00681818,79.99421504,62.53256775,85.05214399,138.9530753,97.49452567,102.460234,111.3892454
10473,34.08932019,55.52787104,68.88655499,53.98450106,70.68041249,81.92782311,74.76535341,84.26495916,80.86416051
10024,41.88653325,75.87694814,96.19413437,98.05980756,87.59218679,153.4725517,138.4840184,120.2380952,83.63012752
11360,30.58021852,73.92106363,92.40788224,44.36945794,81.99853414,155.2341225,362.4917384,160.0062393,655.2659906
10469,37.2837869,68.03847393,80.90157956,93.06621499,132.108448,133.2057421,143.382197,125.6440647,150.4191885
11418,39.59054406,81.19980809,62.71565345,67.15048053,130.1731221,83.35776381,64.35157657,169.7360559,245.1880532
11435,38.73347438,55.02027742,87.57046101,65.49810386,92.62594896,76.02977899,84.53671613,131.453478,260.8255161
11219,45.96819857,64.51717925,97.31987085,75.17766214,89.88651162,106.1472276,114.0686295,127.1025749,148.6572052
11428,30.64701306,52.05441551,54.06807051,48.45313443,246.2497755,155.6343298,147.5355808,169.1364583,338.0905529
10468,45.68410896,70.57121868,105.4174699,60.84042849,104.7930718,121.8225455,87.23199594,109.0586108,101.4636988
11229,43.53955515,65.80300898,71.90496649,96.20550497,86.37255147,106.853352,215.2856078,153.6473091,227.374317
11218,42.53175796,66.44596629,86.00261496,71.25578416,75.49014541,103.0255937,115.7386123,156.6916624,180.6946024
11203,53.3896569,81.28933016,88.32128451,73.54918877,92.99674856,98.05113163,144.9847013,141.4791637,186.6092336
10310,34.87058732,49.00902778,71.70966202,66.20796659,67.7029879,65.90541462,88.21601361,135.6044085,188.8841707
11225,37.76600085,80.15064784,72.69889965,55.18771142,81.98952476,101.5142568,191.0062299,139.2888238,113.8435658
11420,24.82713968,46.32485492,57.94550404,111.3665631,136.9646794,72.11491404,47.33140792,144.3142685,241.1569039
11378,20.09206684,47.19605413,56.69789809,66.37717783,108.5001544,74.16296279,68.1481923,129.3352008,268.8763279
10028,45.18114252,94.02215957,98.5187012,80.17708941,42.10443251,100.681655,106.3792926,90.04774965,175.3363518
10025,47.56783109,78.20787406,81.48584192,89.81807984,54.26154941,157.8790673,131.0840654,146.2252867,95.41906822
11211,47.61495061,56.84193868,79.12792052,84.49195747,94.76121122,89.42063621,115.9541801,107.3837954,142.442831
10019,43.66635164,61.15317503,80.55051441,134.8046545,58.0440975,177.8557415,89.82372857,84.1982329,96.19269283
11208,42.92619901,73.89749262,68.89780086,80.121693,89.75230933,86.06119509,101.98475,125.1955246,116.0511847
10467,45.22491752,104.6304671,142.1747178,71.11623481,151.0188446,231.8217153,158.6447717,149.6612941,142.4570124
11693,54.25239635,46.90261243,54.21452866,63.27273929,44.22968354,45.59993595,89.12555556,114.8255274,237.6631012
11101,35.83084,45.49209982,60.62209544,64.03063488,87.25347438,55.6484421,52.32442467,121.6986776,144.6273981
10456,34.85127859,86.94659818,89.3558979,80.06929172,153.0912549,173.671033,97.92898088,113.4360699,124.7073634
11692,42.42100523,65.3447905,91.03744883,78.7566018,156.3094301,148.3264491,67.5355773,198.5136713,732.6765126
11429,36.9084787,84.58897687,67.26998554,78.54006324,118.3170336,75.26628553,69.11202416,141.6734497,235.4001475
11422,41.01119481,70.91758371,65.89278061,131.3007039,157.0153812,84.92190859,69.43284877,155.0685138,258.8980655
11385,30.12370572,45.75409822,54.19199502,52.56706476,77.0203382,87.13287214,87.79148492,109.4169608,194.1917303
10302,47.40831289,63.19936686,125.6051103,105.3527489,74.21109189,94.7988841,175.8118981,158.4771372,177.7158954
10314,38.59773826,54.42945989,68.2426333,88.55718103,91.13805313,79.3344778,97.00626412,111.3437924,192.8448988
11369,28.74225563,57.8034898,85.30827231,225.6109197,153.3952097,111.5270025,54.07784815,138.287069,168.1725688
11370,28.615,46.68053992,78.09156413,118.3222434,123.5894501,52.45990035,77.44992505,133.4584352,176.3360515
11102,35.04290895,41.88443868,74.58811869,64.8054437,89.74775942,71.78985022,72.28180586,132.4224242,209.8409076
10462,38.85084599,66.68397972,69.08743612,66.87338683,110.9829215,195.2483843,84.82356524,105.9215818,145.6278578
10463,33.67920999,62.54036772,78.83440807,58.32279509,72.12443426,87.25281757,75.0220879,113.213358,139.4777044
11414,33.733781,79.84549885,61.17679033,96.05192925,129.3994882,59.6708338,67.43926338,136.8711114,216.4996655
11106,35.57345323,52.92313322,70.8112436,59.39035816,94.98279471,55.9621523,112.6924549,168.3634965,211.7710103
11356,22.03504654,39.97013981,45.46587935,79.08214462,79.77335407,67.27539619,177.2147539,141.9058606,282.420354
10012,38.13861006,55.84034884,89.79052378,113.5412782,155.3434777,154.5724118,130.3279026,141.298171,181.2930059
10027,44.52102055,60.71463577,92.27545508,49.84579496,72.15262673,97.0869082,138.4580387,145.4749504,100.7183852
10470,59.37661508,107.2051079,97.07835994,45.85690109,152.0942394,136.2632161,136.7161888,130.8262392,147.3876524
10304,34.17114682,68.34320608,90.18608543,71.86145335,123.8690259,112.6519738,119.0567091,161.2599878,266.0877128
10014,51.84685067,61.35947565,107.8125935,117.1694703,98.77490905,139.3493088,109.9222859,145.0665255,184.9817855
11357,29.73870351,65.0243859,92.29816678,110.5509575,115.4283898,88.51927639,164.725807,159.1051053,300.0761927
10308,36.27118715,53.82153435,96.7811655,84.21612257,50.59969851,72.71989358,55.36364953,121.0184988,245.3777088
11214,25.19502391,44.61981562,54.83126933,76.05623182,91.87792067,74.9515962,127.0783874,122.5598576,210.3287046
10474,42.97150414,86.44499511,115.5695171,120.0727498,120.5168474,202.3708571,182.7327395,134.1212314,137.5150829
11367,41.20224019,120.8836126,85.09073375,122.7992363,98.58675869,81.60897315,71.43345437,192.7280396,299.258273
11358,25.53884552,54.03262661,97.2874052,75.58757052,101.1627791,118.3583217,138.6910791,206.8101601,307.8230486
11374,37.07134535,63.04204838,70.87322336,68.37222443,121.488638,96.19856489,139.7606036,172.3379073,228.1495323
10038,15.66558647,32.00041391,68.38735816,81.9036969,48.94186029,108.4416213,94.93076128,85.70905807,139.9318469
10309,55.55608421,65.03655543,97.24409914,73.66179662,82.29890313,94.74670021,89.01600521,144.0837751,237.8473875
11436,40.30115974,48.16534145,56.86229948,92.97374055,108.8771398,90.2697194,138.8565075,131.6199978,226.0805769
11411,43.58415892,73.55527062,71.5375719,64.34795525,169.1168414,73.8617984,60.85003271,161.9296315,214.8144361
10312,39.68274978,49.22578644,91.90288787,85.49364307,66.18701779,96.60751637,99.89856228,122.6101312,250.6444593
10303,41.86270881,56.42998723,76.34037315,53.88006944,84.87782289,84.95751374,128.2702475,170.5476606,132.8525955
11368,24.98345425,52.73893353,58.78045703,52.95058171,64.71655045,56.57241145,88.71732083,91.25140103,163.2026139
11201,31.68543689,51.13145116,64.96363305,102.5840004,90.35995364,105.225388,90.63369792,106.0148525,125.3595341
11215,37.68473528,68.36379888,76.66887631,107.4338861,91.43916422,116.736705,136.9411283,162.0315993,168.1661484
